SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200811,20080508,5,18,1,0.98,PRD0900121,CL00063,DEP00019,G00007,D00002,CUST0000307323,MM,OA,994110900366847,M,MM,Small Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,3,2.25,PRD0900447,CL00140,DEP00049,G00014,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,18,1,0.88,PRD0900456,CL00046,DEP00012,G00004,D00002,CUST0000307323,MM,OA,994110900366847,M,MM,Small Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,0.4,PRD0900522,CL00157,DEP00053,G00016,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,2.06,PRD0900556,CL00198,DEP00067,G00021,D00005,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,1.15,PRD0900691,CL00023,DEP00008,G00004,D00002,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,1.55,PRD0900693,CL00129,DEP00046,G00013,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,3,3.93,PRD0900838,CL00129,DEP00046,G00013,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,2.05,PRD0900878,CL00148,DEP00052,G00015,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,0.79,PRD0900897,CL00102,DEP00034,G00010,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,3,4.14,PRD0901148,CL00129,DEP00046,G00013,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080507,4,18,1,1.56,PRD0901440,CL00146,DEP00051,G00015,D00003,CUST0000744374,LA,,994110900651667,M,MM,Small Shop,Grocery,STORE00001,LS,E02
200811,20080508,5,08,1,1.53,PRD0901778,CL00073,DEP00021,G00007,D00002,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080506,3,12,1,0.88,PRD0901809,CL00154,DEP00052,G00015,D00003,CUST0000370974,MM,,994110900408371,S,MM,Small Shop,Grocery,STORE00001,LS,E02
200811,20080508,5,08,3,6.09,PRD0901825,CL00129,DEP00046,G00013,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,3,3.27,PRD0902068,CL00006,DEP00002,G00001,D00001,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,3,2.85,PRD0902136,CL00117,DEP00042,G00011,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200811,20080508,5,08,1,1.27,PRD0902460,CL00141,DEP00049,G00014,D00003,CUST0000190750,LA,OT,994110900291407,L,MM,Full Shop,Mixed,STORE00001,LS,E02
