SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200716,20070611,2,17,1,0.64,PRD0900196,CL00070,DEP00020,G00007,D00002,CUST0000410727,UM,OT,994106200440742,M,UM,Small Shop,Mixed,STORE00001,LS,E02
200716,20070612,3,14,1,8.13,PRD0900324,CL00058,DEP00016,G00006,D00002,CUST0000744374,LA,,994106200661435,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200716,20070611,2,12,1,1.81,PRD0900329,CL00083,DEP00023,G00007,D00002,CUST0000307323,MM,OA,994106200372744,S,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070611,2,17,3,2.82,PRD0900471,CL00152,DEP00052,G00015,D00003,CUST0000410727,UM,OT,994106200440742,M,UM,Small Shop,Mixed,STORE00001,LS,E02
200716,20070615,6,14,1,0.28,PRD0900684,CL00043,DEP00011,G00004,D00002,CUST0000770451,MM,OT,994106200678646,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070611,2,17,1,2.55,PRD0901453,CL00010,DEP00003,G00002,D00001,CUST0000410727,UM,OT,994106200440742,M,UM,Small Shop,Mixed,STORE00001,LS,E02
200716,20070615,6,14,1,0.66,PRD0901577,CL00001,DEP00001,G00001,D00001,CUST0000770451,MM,OT,994106200678646,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070611,2,17,1,0.82,PRD0901753,CL00079,DEP00022,G00007,D00002,CUST0000410727,UM,OT,994106200440742,M,UM,Small Shop,Mixed,STORE00001,LS,E02
200716,20070615,6,14,1,0.85,PRD0901916,CL00067,DEP00019,G00007,D00002,CUST0000770451,MM,OT,994106200678646,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070612,3,14,1,0.36,PRD0902318,CL00164,DEP00055,G00016,D00003,CUST0000744374,LA,,994106200661435,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200716,20070611,2,16,1,0.01,PRD0902611,CL00241,DEP00086,G00028,D00008,CUST0000770451,MM,OT,994106200678647,S,MM,Small Shop,Grocery,STORE00001,LS,E02
200716,20070611,2,12,1,1.56,PRD0902898,CL00037,DEP00010,G00004,D00002,CUST0000307323,MM,OA,994106200372744,S,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070615,6,14,1,0.32,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000770451,MM,OT,994106200678646,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070611,2,17,1,1.15,PRD0903219,CL00154,DEP00052,G00015,D00003,CUST0000410727,UM,OT,994106200440742,M,UM,Small Shop,Mixed,STORE00001,LS,E02
200716,20070611,2,17,1,0.46,PRD0903586,CL00068,DEP00019,G00007,D00002,CUST0000410727,UM,OT,994106200440742,M,UM,Small Shop,Mixed,STORE00001,LS,E02
200716,20070612,3,14,1,2.33,PRD0904305,CL00098,DEP00031,G00008,D00002,CUST0000744374,LA,,994106200661435,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200716,20070615,6,14,1,0.63,PRD0904519,CL00067,DEP00019,G00007,D00002,CUST0000770451,MM,OT,994106200678646,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200716,20070613,4,09,1,0.98,PRD0900121,CL00063,DEP00019,G00007,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,10,4,1.64,PRD0900332,CL00164,DEP00055,G00016,D00003,,,,994106200085923,M,MM,Small Shop,Mixed,STORE00002,LS,W01
200716,20070613,4,09,1,1.32,PRD0900608,CL00067,DEP00019,G00007,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,10,3,2.52,PRD0901212,CL00043,DEP00011,G00004,D00002,,,,994106200085923,M,MM,Small Shop,Mixed,STORE00002,LS,W01
200716,20070613,4,09,1,0.81,PRD0901496,CL00106,DEP00037,G00010,D00003,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,0.24,PRD0901878,CL00043,DEP00011,G00004,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,08,1,0.88,PRD0901974,CL00106,DEP00037,G00010,D00003,,,,994106200156478,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,08,1,0.49,PRD0902289,CL00154,DEP00052,G00015,D00003,,,,994106200156478,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,0.94,PRD0902808,CL00045,DEP00011,G00004,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070612,3,12,1,2.78,PRD0902985,CL00140,DEP00049,G00014,D00003,CUST0000715467,MM,OT,994106200642240,S,MM,Small Shop,Grocery,STORE00002,LS,W01
200716,20070613,4,09,1,1.04,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,0.35,PRD0903078,CL00108,DEP00037,G00010,D00003,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,10,1,0.98,PRD0903176,CL00044,DEP00011,G00004,D00002,,,,994106200085923,M,MM,Small Shop,Mixed,STORE00002,LS,W01
200716,20070614,5,18,1,0.34,PRD0903256,CL00063,DEP00019,G00007,D00002,,,,994106200051823,S,MM,Small Shop,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,0.91,PRD0903269,CL00064,DEP00019,G00007,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,08,1,1.26,PRD0903282,CL00150,DEP00052,G00015,D00003,,,,994106200156478,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,1.39,PRD0903518,CL00069,DEP00020,G00007,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,1.64,PRD0903644,CL00023,DEP00008,G00004,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070612,3,15,1,2.16,PRD0904185,CL00079,DEP00022,G00007,D00002,CUST0000499555,MM,YF,994106200499210,S,MM,Small Shop,Fresh,STORE00002,LS,W01
200716,20070614,5,18,1,1.54,PRD0904358,CL00063,DEP00019,G00007,D00002,,,,994106200051823,S,MM,Small Shop,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,2.24,PRD0904455,CL00162,DEP00055,G00016,D00003,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070612,3,15,1,1.16,PRD0904813,CL00046,DEP00012,G00004,D00002,CUST0000499555,MM,YF,994106200499210,S,MM,Small Shop,Fresh,STORE00002,LS,W01
200716,20070613,4,09,1,2.06,PRD0901348,CL00072,DEP00021,G00007,D00002,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
200716,20070613,4,09,3,0.03,PRD0903678,CL00222,DEP00076,G00023,D00005,CUST0000715467,MM,OT,994106200642241,L,LA,Top Up,Fresh,STORE00002,LS,W01
